1,フシギダネ,Image/Match/1.png,Image/Pic/1.png,つるのムチ,タネばくだん,ヘドロばくだん
2,フシギソウ,Image/Match/2.png,Image/Pic/2.png,はっぱカッター,ヘドロばくだん,パワーウィップ
3,フシギバナ,Image/Match/3.png,Image/Pic/3.png,,,
3-1,メガフシギバナ,Image/Match/3-1.png,Image/Pic/3-1.png,,,
3-2,フシギバナ(キョダイマックス),Image/Match/3-2.png,Image/Pic/3-2.png,,,
4,ヒトカゲ,Image/Match/4.png,Image/Pic/4.png,,,
5,リザード,Image/Match/5.png,Image/Pic/5.png,,,
6,リザードン,Image/Match/6.png,Image/Pic/6.png,つばさでうつ,,
6-1,メガリザードンX,Image/Match/6-1.png,Image/Pic/6-1.png,,,
6-2,メガリザードンY,Image/Match/6-2.png,Image/Pic/6-2.png,,,
6-3,リザードン(キョダイマックス),Image/Match/6-3.png,Image/Pic/6-3.png,,,
7,ゼニガメ,Image/Match/7.png,Image/Pic/7.png,,,
8,カメール,Image/Match/8.png,Image/Pic/8.png,,,
9,カメックス,Image/Match/9.png,Image/Pic/9.png,,,
9-1,メガカメックス,Image/Match/9-1.png,Image/Pic/9-1.png,,,
9-2,カメックス(キョダイマックス),Image/Match/9-2.png,Image/Pic/9-2.png,,,
10,キャタピー,Image/Match/10.png,Image/Pic/10.png,,,
11,トランセル,Image/Match/11.png,Image/Pic/11.png,,,
12,バタフリー,Image/Match/12.png,Image/Pic/12.png,,,
12-1,バタフリー(キョダイマックス),Image/Match/12-1.png,Image/Pic/12-1.png,,,
13,ビードル,Image/Match/13.png,Image/Pic/13.png,,,
14,コクーン,Image/Match/14.png,Image/Pic/14.png,,,
15,スピアー,Image/Match/15.png,Image/Pic/15.png,,,
15-1,メガスピアー,Image/Match/15-1.png,Image/Pic/15-1.png,,,
16,ポッポ,Image/Match/16.png,Image/Pic/16.png,,,
17,ピジョン,Image/Match/17.png,Image/Pic/17.png,,,
18,ピジョット,Image/Match/18.png,Image/Pic/18.png,かぜおこし,エアカッター,ねっぷう
18-1,メガピジョット,Image/Match/18-1.png,Image/Pic/18-1.png,,,
19,コラッタ,Image/Match/19.png,Image/Pic/19.png,,,
19-1,コラッタ(アローラのすがた),Image/Match/19-1.png,Image/Pic/19-1.png,,,
20,ラッタ,Image/Match/20.png,Image/Pic/20.png,でんこうせっか,ひっさつまえば,あなをほる
20-1,ラッタ(アローラのすがた),Image/Match/20-1.png,Image/Pic/20-1.png,,,
21,オニスズメ,Image/Match/21.png,Image/Pic/21.png,,,
22,オニドリル,Image/Match/22.png,Image/Pic/22.png,つつく,ドリルくちばし,ドリルライナー
23,アーボ,Image/Match/23.png,Image/Pic/23.png,,,
24,アーボック,Image/Match/24.png,Image/Pic/24.png,,,
25,ピカチュウ,Image/Match/25.png,Image/Pic/25.png,,,
25-1,マスクド・ピカチュウ,Image/Match/25-1.png,Image/Pic/25-1.png,,,
25-2,ピカチュウ(そらをとぶ),Image/Match/25-2.png,Image/Pic/25-2.png,,,
25-3,ピカチュウ(かりゆし),Image/Match/25-3.png,Image/Pic/25-3.png,,,
25-4,ピカチュウ(アイドル),Image/Match/25-4.png,Image/Pic/25-4.png,,,
25-5,ピカチュウ(ハードロック),Image/Match/25-5.png,Image/Pic/25-5.png,,,
25-6,ピカチュウ(そらをとぶ5周年),Image/Match/25-6.png,Image/Pic/25-6.png,,,
25-7,ピカチュウ(ドクター),Image/Match/25-7.png,Image/Pic/25-7.png,,,
25-8,ピカチュウ(キャプテン帽子),Image/Match/25-8.png,Image/Pic/25-8.png,,,
25-9,ピカチュウ(キョダイマックス),Image/Match/25-9.png,Image/Pic/25-9.png,,,
26,ライチュウ,Image/Match/26.png,Image/Pic/26.png,ボルトチェンジ,,
26-1,ライチュウ(アローラのすがた),Image/Match/26-1.png,Image/Pic/26-1.png,でんきショック,サイコショック,ワイルドボルト
27,サンド,Image/Match/27.png,Image/Pic/27.png,,,
27-1,サンド(アローラのすがた),Image/Match/27-1.png,Image/Pic/27-1.png,,,
28,サンドパン,Image/Match/28.png,Image/Pic/28.png,すなかけ,つじぎり,ねっさのだいち
28-1,サンドパン(アローラのすがた),Image/Match/28-1.png,Image/Pic/28-1.png,こなゆき,れいとうパンチ,ドリルライナー
29,ニドラン♀,Image/Match/29.png,Image/Pic/29.png,,,
30,ニドリーナ,Image/Match/30.png,Image/Pic/30.png,,,
31,ニドクイン,Image/Match/31.png,Image/Pic/31.png,,,
32,ニドラン♂,Image/Match/32.png,Image/Pic/32.png,,,
33,ニドリーノ,Image/Match/33.png,Image/Pic/33.png,,,
34,ニドキング,Image/Match/34.png,Image/Pic/34.png,,,
35,ピッピ,Image/Match/35.png,Image/Pic/35.png,,,
